Follower Athlete ID,Follow Status,Created At
1801388,Accepted,"Mar 3, 2013, 1:57:40 PM"
1861565,Accepted,"Mar 19, 2013, 12:23:19 AM"
1915531,Accepted,"Apr 1, 2013, 3:16:25 PM"
707019,Accepted,"Apr 1, 2013, 3:25:37 PM"
1943633,Accepted,"Apr 7, 2013, 1:02:47 PM"
1944034,Accepted,"Apr 7, 2013, 2:01:43 PM"
1941497,Accepted,"Apr 7, 2013, 7:15:33 PM"
90005,Accepted,"Apr 20, 2013, 2:12:25 PM"
190571,Accepted,"May 4, 2013, 12:58:01 AM"
1920113,Accepted,"Apr 15, 2014, 12:38:20 AM"
4471411,Accepted,"Apr 15, 2014, 5:40:15 AM"
4439071,Accepted,"Apr 19, 2014, 6:47:53 PM"
2233769,Accepted,"Apr 23, 2014, 12:38:31 AM"
4052620,Accepted,"May 5, 2014, 4:44:46 PM"
4522321,Accepted,"Jun 2, 2014, 3:19:40 PM"
6531312,Accepted,"Oct 9, 2014, 4:33:54 AM"
8659023,Accepted,"Apr 19, 2015, 8:12:16 PM"
5088230,Accepted,"May 4, 2015, 5:04:38 PM"
9085916,Accepted,"May 7, 2015, 12:12:57 AM"
845717,Accepted,"Jun 19, 2015, 12:36:01 AM"
4527596,Accepted,"Sep 6, 2015, 11:11:37 PM"
14584061,Accepted,"Apr 16, 2016, 4:57:39 PM"
2588733,Accepted,"Apr 25, 2016, 11:14:14 PM"
9631275,Accepted,"May 23, 2016, 2:26:43 AM"
10968057,Accepted,"Jun 11, 2016, 10:03:39 PM"
9686411,Accepted,"Jun 11, 2016, 11:35:18 PM"
7414356,Accepted,"Jul 3, 2016, 8:15:07 PM"
2044029,Accepted,"Oct 28, 2016, 10:54:13 AM"
8414223,Accepted,"Apr 11, 2017, 8:41:02 PM"
8414223,Accepted,"Apr 11, 2017, 8:41:02 PM"
15887534,Accepted,"Apr 23, 2017, 10:17:24 PM"
9034423,Accepted,"May 4, 2017, 1:03:59 PM"
523123,Accepted,"May 5, 2017, 9:04:35 AM"
2737717,Accepted,"May 7, 2017, 6:31:36 PM"
5642704,Accepted,"May 7, 2017, 6:37:14 PM"
22615529,Accepted,"Jun 20, 2017, 1:05:02 PM"
8624467,Accepted,"Jul 19, 2017, 12:26:00 AM"
2942293,Accepted,"May 7, 2018, 11:18:09 PM"
9188804,Accepted,"Oct 1, 2018, 4:25:49 AM"
35389581,Accepted,"Oct 2, 2018, 11:47:12 PM"
29779181,Accepted,"Nov 4, 2018, 8:38:08 PM"
10825098,Accepted,"Dec 30, 2018, 6:04:18 AM"
10051105,Accepted,"Sep 10, 2019, 2:29:03 PM"
12386026,Accepted,"Mar 26, 2020, 5:41:58 PM"
39132402,Accepted,"May 6, 2020, 5:47:36 AM"
55449085,Accepted,"May 8, 2020, 10:36:09 AM"
13398214,Accepted,"May 8, 2020, 12:17:21 PM"
58628099,Accepted,"Jun 27, 2020, 7:07:27 PM"
17634115,Accepted,"Jun 28, 2020, 6:11:18 PM"
43681271,Accepted,"Jul 20, 2020, 10:34:23 AM"
62346795,Accepted,"Jul 20, 2020, 11:30:56 PM"
18661259,Accepted,"Jul 25, 2020, 10:04:45 PM"
63502827,Accepted,"Jul 26, 2020, 7:32:16 PM"
18428405,Accepted,"Jul 29, 2020, 11:15:13 AM"
21624751,Accepted,"Jul 30, 2020, 6:54:22 PM"
17228112,Accepted,"Aug 7, 2020, 5:10:38 PM"
64647770,Accepted,"Aug 13, 2020, 7:12:01 PM"
502772,Accepted,"Aug 24, 2020, 12:07:35 AM"
63645328,Accepted,"Sep 5, 2020, 9:28:32 PM"
57736637,Accepted,"Sep 5, 2020, 10:01:17 PM"
25318430,Accepted,"Sep 13, 2020, 5:45:35 PM"
67998855,Accepted,"Sep 20, 2020, 6:19:49 PM"
63511872,Accepted,"Sep 20, 2020, 7:19:10 PM"
55915057,Accepted,"Sep 20, 2020, 7:54:46 PM"
63349224,Accepted,"Sep 20, 2020, 8:08:32 PM"
63766702,Accepted,"Sep 20, 2020, 11:06:23 PM"
17912651,Accepted,"Sep 26, 2020, 5:43:03 PM"
60049222,Accepted,"Sep 26, 2020, 6:28:03 PM"
16509923,Accepted,"Sep 27, 2020, 12:53:50 AM"
32374825,Accepted,"Sep 27, 2020, 12:03:40 PM"
27469154,Accepted,"Oct 11, 2020, 11:26:51 PM"
22152472,Accepted,"Oct 18, 2020, 6:41:26 PM"
10882400,Accepted,"Oct 26, 2020, 5:13:27 PM"
62467062,Accepted,"Nov 14, 2020, 6:55:48 PM"
184638,Accepted,"Nov 21, 2020, 9:57:49 PM"
3142413,Accepted,"Nov 23, 2020, 12:15:52 AM"
1091205,Accepted,"Nov 28, 2020, 4:43:27 AM"
50940937,Accepted,"Dec 4, 2020, 1:50:51 AM"
13347219,Accepted,"Dec 6, 2020, 9:22:22 AM"
2893387,Accepted,"Dec 17, 2020, 11:18:36 AM"
60367518,Accepted,"Feb 1, 2021, 5:16:25 PM"
3137361,Accepted,"Feb 2, 2021, 1:55:58 AM"
42792638,Accepted,"Feb 25, 2021, 1:27:00 PM"
39925950,Accepted,"Mar 28, 2021, 9:44:00 PM"
3014681,Accepted,"Apr 23, 2021, 6:19:18 AM"
32914016,Accepted,"Apr 24, 2021, 3:58:17 AM"
1697140,Accepted,"May 14, 2021, 4:30:24 AM"
304420,Accepted,"May 14, 2021, 5:09:51 AM"
272065,Accepted,"May 21, 2021, 6:13:00 AM"
23835829,Accepted,"May 28, 2021, 2:06:05 PM"
1196475,Accepted,"May 28, 2021, 5:23:45 PM"
177555,Accepted,"May 28, 2021, 5:28:35 PM"
54141739,Accepted,"May 28, 2021, 5:54:33 PM"
51680654,Accepted,"Jun 4, 2021, 4:06:24 PM"
6316874,Accepted,"Jun 4, 2021, 4:16:21 PM"
60520486,Accepted,"Jun 6, 2021, 11:55:31 AM"
86916161,Accepted,"Jun 9, 2021, 11:46:37 AM"
33855445,Accepted,"Jun 11, 2021, 3:07:39 PM"
3222096,Accepted,"Jul 9, 2021, 5:38:00 AM"
170983,Accepted,"Jul 10, 2021, 1:55:14 AM"
13931841,Accepted,"Jul 10, 2021, 2:31:46 AM"
1765879,Accepted,"Jul 10, 2021, 3:37:32 AM"
48704606,Accepted,"Jul 10, 2021, 5:47:22 AM"
31417738,Accepted,"Jul 11, 2021, 4:49:54 PM"
11749160,Accepted,"Jul 17, 2021, 2:54:45 AM"
2119362,Accepted,"Jul 17, 2021, 10:30:15 PM"
6839319,Accepted,"Aug 2, 2021, 4:22:15 PM"
2665,Accepted,"Aug 7, 2021, 2:23:46 AM"
797300,Accepted,"Aug 7, 2021, 2:32:19 AM"
7973557,Accepted,"Aug 7, 2021, 3:59:18 AM"
18803690,Accepted,"Aug 7, 2021, 1:55:13 PM"
57981633,Accepted,"Aug 13, 2021, 5:52:43 AM"
5116026,Accepted,"Aug 15, 2021, 11:36:59 PM"
47372765,Accepted,"Aug 18, 2021, 1:04:52 AM"
9603201,Accepted,"Aug 21, 2021, 8:54:09 PM"
159124,Accepted,"Oct 4, 2021, 3:27:56 AM"
